cid,text,time,author,channel,votes,photo,heart,replies_count,video_id,video_title,video_published_at
Ugz0BBA0s2Se56MnvsN4AaABAg,"Я всё это покупала, потому что так все делают 😆 хорошо, что дети не ели) )",2024-08-02T17:32:13Z,@Ольга-ш3у5о,UCzkcyw-FlspC4Ksn8hQpkzA,0,https://yt3.ggpht.com/BKv1u4seTQoveAjfyQUbq0skyRDQqhvrl_cbSWVVhS7zOKtJONOrZNdj-10IakSEEotZ8yQp=s48-c-k-c0x00ffffff-no-rj,False,0,18DnQ-wPHYw,"КАК НЕ вводить прикорм и НЕ кормить ребенка, рекомендации от педиатра #докторлиза #nikolife",2024-08-02T13:30:00Z
UgwcoKcRiGr8YRKW49B4AaABAg,Родители сами бы попробовали все это на вкус 😁 особенно каши 🤢,2024-08-02T13:58:09Z,@СофьяДробышева-п9б,UCsaSO2S1ePmJL9IF7KKDbBg,0,https://yt3.ggpht.com/ytc/AIdro_mnL4OPZDwV0ZvwJiguMBZjFKDItNkMkZtzfc4GW9JuiFYMhEu_vCOr9oFwC0xho5j1CpY=s48-c-k-c0x00ffffff-no-rj,False,0,18DnQ-wPHYw,"КАК НЕ вводить прикорм и НЕ кормить ребенка, рекомендации от педиатра #докторлиза #nikolife",2024-08-02T13:30:00Z
UgxRuTl4t-MTdUbjx5N4AaABAg,"Что то не понятно,это пища достаточно безопасная для ребенка. В инфекционных отделениях НИКОГДА не видела детей с отравлениями этими продуктами,скорее наоборот.  Плюс это крайне удобно.",2024-08-02T13:39:52Z,@petelka9265,UCkUSTQTZLzVtAAYJcl-c6eA,1,https://yt3.ggpht.com/7mGfqkj5pGqJPUbKPt0fEQDR3-WWBA1Y_sTibq-F9l3VIhJAUr018Ke3H915haU3RaPuotTd=s48-c-k-c0x00ffffff-no-rj,False,0,18DnQ-wPHYw,"КАК НЕ вводить прикорм и НЕ кормить ребенка, рекомендации от педиатра #докторлиза #nikolife",2024-08-02T13:30:00Z
Ugz0pAayjjA76nc_g2l4AaABAg,👏👏👏👏👏👏👏👏👏,2024-08-02T13:38:59Z,@gomeopat_lipkanskaya,UCAmlSEoWXUS4gPgsA9Xz6tA,0,https://yt3.ggpht.com/rju4UFXQIi289WKYdSlWB5jb4ZP3_Ygz82F7azRZrhGd5hFGG2EIe9n8ONmgzuRhHNsVMDgBtA=s48-c-k-c0x00ffffff-no-rj,False,0,18DnQ-wPHYw,"КАК НЕ вводить прикорм и НЕ кормить ребенка, рекомендации от педиатра #докторлиза #nikolife",2024-08-02T13:30:00Z
UgyObY08b55mWb-N3iN4AaABAg,"Спасибо, доктор Лиза ❤",2024-08-02T13:33:45Z,@ekaterinasine6061,UCYfOKGFHLv_H_ZaAN_H_pgQ,0,https://yt3.ggpht.com/ytc/AIdro_n6_wlUMC9gQdN6eXQvVCJFoCHowvKZiZy7A660JNUx7GU=s48-c-k-c0x00ffffff-no-rj,False,0,18DnQ-wPHYw,"КАК НЕ вводить прикорм и НЕ кормить ребенка, рекомендации от педиатра #докторлиза #nikolife",2024-08-02T13:30:00Z
Ugw17Jb3vJWxTtBj55x4AaABAg,"Доктор Лиза, благодарю Вас ❤<br><br>Какая классная информация, мне сейчас супер актуально ❤",2024-07-31T20:10:18Z,@nikolife_nutrition,UCmefq5JW-K3Nt1gMsAkpysA,0,https://yt3.ggpht.com/jiysXBdI3R9YTep_WDiDdfKWguXUxa8F7kbCSDa8ZbFzVsJvPJpHqIsAkb07lpugExrVIZnezA=s48-c-k-c0x00ffffff-no-rj,False,0,aeIyYwmt8z0,"ПРИКОРМ до года,  КАК СДЕЛАТЬ ВСЕ ПРАВИЛЬНО! Рекомендации от педиатра #докторлиза #nikolife #прикорм",2024-07-31T14:30:00Z
UgxYaT670LBoZVoND714AaABAg,"Как жаль, что раньше не было таких знаний у меня. Какое счастье,что сейчас они есть у меня благодарю Вас❤.",2024-07-31T17:53:05Z,@ekaterinasine6061,UCYfOKGFHLv_H_ZaAN_H_pgQ,0,https://yt3.ggpht.com/ytc/AIdro_n6_wlUMC9gQdN6eXQvVCJFoCHowvKZiZy7A660JNUx7GU=s48-c-k-c0x00ffffff-no-rj,False,0,aeIyYwmt8z0,"ПРИКОРМ до года,  КАК СДЕЛАТЬ ВСЕ ПРАВИЛЬНО! Рекомендации от педиатра #докторлиза #nikolife #прикорм",2024-07-31T14:30:00Z
Ugx3c2gJWiyy4xYf57V4AaABAg,"Вводила по вашему методу, ребенок ест чудесно❤️☺️ мне пишут все «кааак она ест столько овощей,  пусть научит и моего ребенка!».😂",2024-07-31T15:17:26Z,@springmelody916,UCtZUZtjINKL0I2wrttD6p0w,0,https://yt3.ggpht.com/ytc/AIdro_n2udBzeYBteVO94AOvACDKqyHN4sBTqV2YenVzO3Y2Ic5h7sd9c1UhQi-g7V9kvb_L3A=s48-c-k-c0x00ffffff-no-rj,False,0,aeIyYwmt8z0,"ПРИКОРМ до года,  КАК СДЕЛАТЬ ВСЕ ПРАВИЛЬНО! Рекомендации от педиатра #докторлиза #nikolife #прикорм",2024-07-31T14:30:00Z
UgwS9hvQGIe1UMle3iJ4AaABAg,Как приятно слушать и понимать что все делаешь как надо 😍,2024-07-31T14:56:23Z,@СофьяДробышева-п9б,UCsaSO2S1ePmJL9IF7KKDbBg,0,https://yt3.ggpht.com/ytc/AIdro_mnL4OPZDwV0ZvwJiguMBZjFKDItNkMkZtzfc4GW9JuiFYMhEu_vCOr9oFwC0xho5j1CpY=s48-c-k-c0x00ffffff-no-rj,False,0,aeIyYwmt8z0,"ПРИКОРМ до года,  КАК СДЕЛАТЬ ВСЕ ПРАВИЛЬНО! Рекомендации от педиатра #докторлиза #nikolife #прикорм",2024-07-31T14:30:00Z
UgxP-Q5oI3Q2N9Zt61J4AaABAg,Супер 👍🏼 согласна!,2024-07-31T14:56:17Z,@АннаХаблова-я6и,UCE_JyP2QpxMIa8ec8PcQOuA,0,https://yt3.ggpht.com/ytc/AIdro_nt5I3z1jYCvKqMdDjTdlPDXKigd4iygJ8-8B3Xiw4=s48-c-k-c0x00ffffff-no-rj,False,0,aeIyYwmt8z0,"ПРИКОРМ до года,  КАК СДЕЛАТЬ ВСЕ ПРАВИЛЬНО! Рекомендации от педиатра #докторлиза #nikolife #прикорм",2024-07-31T14:30:00Z
